AXUV Responsivity 
E (eV)				Wavelenght (nm)       Quantum efficiency  Responsivity (A/W)       
    1601                0.77                432                 0.27  
    1500	            0.826               405.4               0.27
    1400                0.88                378.37              0.270
	1300.00             0.95                351.35              0.270
    1240.00				1.00				335.14				0.270
	1042.02				1.19				281.63				0.270
	898.55				1.38				242.85				0.270
	789.81				1.57				213.46				0.270
	704.55				1.76				190.42				0.270
	635.90				1.95				171.86				0.266	
	579.44				2.14				156.61				0.266
	532.19				2.33				143.83				0.265
	492.06				2.52				132.99				0.265
	457.56				2.71				123.67				0.264
	427.59				2.90				115.56				0.263
	401.29				3.09				108.46				0.263
	378.05				3.28				102.18				0.263
	357.35				3.47				96.58				0.262
	338.80				3.66				91.57				0.260
	322.08				3.85				87.05				0.260
	306.93				4.04				82.95				0.258
	293.14				4.23				79.23				0.256
	280.54				4.42				75.82				0.255
	268.98				4.61				72.70				0.255
	258.33				4.80				69.82				0.254
	248.00				5.00				63.71				0.253
	233.96				5.30				59.12				0.253
	213.79				5.80				51.33				0.240
	196.83				6.30				44.82				0.228
	182.35				6.80				38.93				0.214
	169.86				7.30				33.31				0.196
	158.97				7.80				32.32				0.203
	149.40				8.30				32.34				0.216
	137.78				9.00				31.54				0.229
	130.53				9.50				29.70				0.228
	124.00				10.00				29.19				0.235
	116.98				10.60				27.53				0.235
	106.90				11.60				25.73				0.241
	98.41				12.60				25.65				0.261
	91.18				13.60				23.53				0.258
	84.93				14.60				21.04				0.248
	79.49				15.60				19.18				0.241
	74.70				16.60				17.82				0.239
	70.86				17.50				17.00				0.240
	67.03				18.50				15.87				0.237
	63.59				19.50				14.76				0.232
	60.49				20.50				13.84				0.229
	57.67				21.50				13.08				0.227
	55.11				22.50				12.39				0.225
	52.77				23.50				11.85				0.225
	50.61				24.50				11.25				0.222
	48.63				25.50				12.04				0.248
	45.93				27.00				10.36				0.226
	42.76				29.00				9.21				0.215
	40.00				31.00				9.67				0.242
	37.58				33.00				9.30				0.247
	35.43				35.00				7.54				0.213
	33.51				37.00				7.11				0.212
	31.79				39.00				6.64				0.209
	30.24				41.00				6.13				0.203
	28.84				43.00				5.69				0.197
	27.56				45.00				5.30				0.192
	26.38				47.00				4.94				0.187
	25.31				49.00				4.57				0.181
	23.89				51.90				4.02				0.168
	23.09				53.70				3.73				0.162
	22.30				55.60				3.57				0.160
	21.23				58.40				3.19				0.150
	20.70				59.90				3.05				0.147
	19.94				62.20				2.77				0.139
	19.41				63.90				2.61				0.134
	18.87				65.70				2.46				0.130
	18.54				66.90				2.33				0.126
	18.16				68.30				2.21				0.122
	17.74				69.90				2.15				0.121
	17.42				71.20				2.01				0.115
	16.87				73.50				1.81				0.108
	16.49				75.20				1.68				0.102
	16.08				77.10				1.59				0.0990
	15.50				80.00				1.49				0.0958
	15.16				81.80				1.41				0.0927
	14.69				84.40				1.33				0.0904
	14.34				86.50				1.28				0.0896
	14.00				88.60				1.23				0.0880
	13.48				92.00				1.18				0.0875
	12.5				99.2				1.18				0.095
	11.5				107.8				1.18				0.102
	11.0				112.7				1.18				0.108
	10.65				116.40				1.20				0.112
	10.51				118.00				1.18				0.112
	10.20				121.60				1.19				0.117
	9.89				125.40				1.21				0.122
	9.16				135.40				1.22				0.134
	8.84				140.30				1.22				0.139
	8.61				144.10				1.24				0.144
	8.34				148.70				1.21				0.145
	8.03				154.50				1.20				0.150
	7.71				160.80				1.12				0.145
